dodgeCMovesIfFree =,,False,randomness =,,True
atkr name or pokedex number,atkr fmove,atkr cmove,raid boss,boss fmove,boss cmove,atkr lvl,atkr atkIV,atkr defIV,atkr staIV,nOtherPlayers,nRepeats,dodgeCmovesIfFree?,randomness,win_percent,atkr_DPS_riskadjusted,atkr_TDO_riskadjusted,TTL_riskadjusted,atkr_DPS_avg,atkr_DPS_absdev,normalized_DPS_avg,normalized_DPS_absdev,dfdr_DPS_avg,dfdr_DPS_absdev,atkr_percent_DPS_avg,atkr_percent_DPS_absdev,dfdr_percent_DPS_avg,dfdr_percent_DPS_absdev,TTL_s_avg,TTL_s_absdev,TTW_s_avg,TTW_s_absdev,atkr_TDO_avg,atkr_TDO_absdev,battle_duration_avg
charizard,*wing attack,fire blast,exeggutor,bullet seed,seed bomb,34.5,2,5,10,0,200,False,True,1.0,20.688722276444622,952.4266621365223,45.56911818434245,20.896995578442965,0.41654660399668914,2.0084334639281294,0.04003475693968179,2.6400747717880733,0.29353497908006365,0.01160944198802387,0.00023141477999816064,0.003520099695717431,0.00039137997210675156,48.34970707732477,5.5611777859646505,86.18628499999997,1.6779995500000089,1010.1696390610218,115.48595384899902,86.18628499999997
dragonite,*dragon breath,*dragon pulse,exeggutor,bullet seed,seed bomb,38.5,15,15,15,0,200,False,True,1.0,18.985339674566237,1192.4551122439475,62.52201626005192,19.069589652643078,0.16849995615368457,1.8327994499484734,0.01619471800810413,2.37055439377766,0.25401371294799985,0.010594216473690599,9.361108675204699e-05,0.002565535058200931,0.00027490661574458856,66.18858105867082,7.333129597237794,94.40399999999998,0.8191500000000039,1262.1052486957624,139.30027290362992,94.40399999999998
dragonite,*dragon breath,*dragon pulse,exeggutor,bullet seed,psychic,37.5,15,15,15,0,200,False,True,1.0,18.96564893771322,752.4093410935501,39.15719931631656,19.186151884627943,0.4410058938294516,1.84400237557813,0.04238556646249729,3.725113807117738,0.3962202065806486,0.010658973269237745,0.00024500327434969534,0.004084554613067695,0.000434451980899834,41.44704124695365,4.579683861274193,93.88739500000007,2.142903149999997,794.277467225978,83.73625226485566,93.88739500000007
dragonite,*dragon breath,*dragon pulse,exeggutor,bullet seed,psychic,37.5,15,15,15,0,200,False,True,1.0,18.946369576305848,762.1577640706226,39.686961633158326,19.154218802369268,0.41569845212683937,1.8409332515610461,0.03995324012107956,3.673418532849408,0.39056870649335385,0.010641232667982926,0.00023094358451491076,0.0040278711982997895,0.00042825516062867746,41.92953080180909,4.485138337301533,94.03614500000008,2.0312064499999978,802.0712173220626,79.82690650287991,94.03614500000008
rhydon,mud slap,earthquake,raikou,thunder shock,thunder,29.0,14,11,2,12,200,False,True,0.97,12.917460483845547,388.749457631887,29.778048667780265,13.07762132256118,0.32032167743126694,0.3065394438008341,0.007508340118988897,4.925119390548655,0.46825316284591056,0.0010462097058048943,2.5625734194501354e-05,0.005400350208934929,0.0005134354855766563,31.346090212134644,3.1360830887087565,956.6620688144686,23.394037928410686,410.05380825193356,42.60870124009304,149.93197499999994
blissey,pound,hyper beam,raikou,average all non legacy,thunder,40.0,15,15,13,7,200,False,True,1.0,8.179120042350892,442.2409359538989,53.60167720526147,8.23207670510925,0.10591332551671417,0.19295987796776082,0.00248260835011178,7.517849511064963,0.4577783923491343,0.00065856613640874,8.473066041337135e-06,0.0030338375750867484,0.0001847370429173262,55.313973325716546,3.4245922409101555,1518.9445663971424,19.46042503922388,454.93275064250133,25.38362937720496,253.68677999999997
